# name<TAB>version<TAB>platforms<TAB>declared-license<TAB>source<TAB>repository
# Generated from the locked quirl-cli normal/build closure for all supported release targets.
parking_lot_core	0.9.12	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/Amanieu/parking_lot
paste	1.0.15	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/paste
pastey	0.2.3	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/as1100k/pastey
percent-encoding	2.3.2	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/servo/rust-url/
pkg-config	0.3.34	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-lang/pkg-config-rs
png	0.18.1	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/image-rs/image-png
portable-atomic	1.15.0	linux,macos	Apache-2.0 OR MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/taiki-e/portable-atomic
portable-pty	0.9.0	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/wezterm/wezterm
ppv-lite86	0.2.21	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/cryptocorrosion/cryptocorrosion
proc-macro2	1.0.107	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/proc-macro2
pxfm	0.1.30	linux,macos	BSD-3-Clause OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/awxkee/pxfm
quick-error	2.0.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	http://github.com/tailhook/quick-error
quote	1.0.47	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/dtolnay/quote
rand	0.9.5	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-random/rand
rand_chacha	0.9.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-random/rand
rand_core	0.9.5	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rust-random/rand
ratatui	0.30.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/ratatui
ratatui-core	0.1.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/ratatui
ratatui-crossterm	0.1.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/ratatui
ratatui-widgets	0.3.2	linux,macos	MIT	registry+https://github.com/rust-lang/crates.io-index	https://github.com/ratatui/ratatui
rawpointer	0.2.1	linux,macos	MIT/Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/bluss/rawpointer/
rayon	1.12.0	linux,macos	MIT OR Apache-2.0	registry+https://github.com/rust-lang/crates.io-index	https://github.com/rayon-rs/rayon
